	word_ortho	number_syllables	word_q1	onset_q1	coda_q1	word_q2	onset_q2	coda_q2
17642	коцкарски	3	O-V-O-O-V-R-O-O-V	O	V	O-V-O-O-V-S-O-O-V	O	V
17643	коцкест	2	O-V-O-O-V-O-O	O	O-O	O-V-O-O-V-O-O	O	O-O
17644	коцори	3	O-V-O-V-R-V	O	V	O-V-O-V-S-V	O	V
17645	коцорлив	3	O-V-O-V-R-L-V-O	O	O	O-V-O-V-S-S-V-O	O	O
17646	коч	1	O-V-O	O	O	O-V-O	O	O
17647	кочан	2	O-V-O-V-N	O	N	O-V-O-V-S	O	S
17648	Кочани	3	O-V-O-V-N-V	O	V	O-V-O-V-S-V	O	V
17649	кочанка	3	O-V-O-V-N-O-V	O	V	O-V-O-V-S-O-V	O	V
17650	кочи	2	O-V-O-V	O	V	O-V-O-V	O	V
17651	кочија	3	O-V-O-V-J-V	O	V	O-V-O-V-S-V	O	V
17652	кочијаш	3	O-V-O-V-J-V-O	O	O	O-V-O-V-S-V-O	O	O
17653	кочина	3	O-V-O-V-N-V	O	V	O-V-O-V-S-V	O	V
17654	кочиџија	4	O-V-O-V-O-V-J-V	O	V	O-V-O-V-O-V-S-V	O	V
17655	кочница	3	O-V-O-N-V-O-V	O	V	O-V-O-S-V-O-V	O	V
17656	кочничар	3	O-V-O-N-V-O-V-R	O	R	O-V-O-S-V-O-V-S	O	S
17657	кочопери	4	O-V-O-V-O-V-R-V	O	V	O-V-O-V-O-V-S-V	O	V
17658	коџа	2	O-V-O-V	O	V	O-V-O-V	O	V
17659	коџабашија	5	O-V-O-V-O-V-O-V-J-V	O	V	O-V-O-V-O-V-O-V-S-V	O	V
17660	коџамити	4	O-V-O-V-N-V-O-V	O	V	O-V-O-V-S-V-O-V	O	V
17661	коџобашија	5	O-V-O-V-O-V-O-V-J-V	O	V	O-V-O-V-O-V-O-V-S-V	O	V
17662	кош	1	O-V-O	O	O	O-V-O	O	O
17663	кошава	3	O-V-O-V-O-V	O	V	O-V-O-V-O-V	O	V
17664	кошар	2	O-V-O-V-R	O	R	O-V-O-V-S	O	S
17665	кошара	3	O-V-O-V-R-V	O	V	O-V-O-V-S-V	O	V
17666	кошаре	3	O-V-O-V-R-V	O	V	O-V-O-V-S-V	O	V
17667	кошарина	4	O-V-O-V-R-V-N-V	O	V	O-V-O-V-S-V-S-V	O	V
17668	кошарка	3	O-V-O-V-R-O-V	O	V	O-V-O-V-S-O-V	O	V
17669	кошаркар	3	O-V-O-V-R-O-V-R	O	R	O-V-O-V-S-O-V-S	O	S
17670	кошаркарски	4	O-V-O-V-R-O-V-R-O-O-V	O	V	O-V-O-V-S-O-V-S-O-O-V	O	V
17671	коше	2	O-V-O-V	O	V	O-V-O-V	O	V
17672	кошер	2	O-V-O-V-R	O	R	O-V-O-V-S	O	S
17673	кошер	2	O-V-O-V-R	O	R	O-V-O-V-S	O	S
17674	кошерка	3	O-V-O-V-R-O-V	O	V	O-V-O-V-S-O-V	O	V
17675	кошија	3	O-V-O-V-J-V	O	V	O-V-O-V-S-V	O	V
17676	кошка	2	O-V-O-O-V	O	V	O-V-O-O-V	O	V
17677	кошмар	2	O-V-O-N-V-R	O	R	O-V-O-S-V-S	O	S
17678	кошмарен	3	O-V-O-N-V-R-V-N	O	N	O-V-O-S-V-S-V-S	O	S
17679	кошне	2	O-V-O-N-V	O	V	O-V-O-S-V	O	V
17680	кошница	3	O-V-O-N-V-O-V	O	V	O-V-O-S-V-O-V	O	V
17681	кошничар	3	O-V-O-N-V-O-V-R	O	R	O-V-O-S-V-O-V-S	O	S
17682	кошничарство	4	O-V-O-N-V-O-V-R-O-O-O-V	O	V	O-V-O-S-V-O-V-S-O-O-O-V	O	V
17683	кошоглавица	5	O-V-O-V-O-L-V-O-V-O-V	O	V	O-V-O-V-O-S-V-O-V-O-V	O	V
17684	кошта	2	O-V-O-O-V	O	V	O-V-O-O-V	O	V
17685	коштав	2	O-V-O-O-V-O	O	O	O-V-O-O-V-O	O	O
17686	коштан	2	O-V-O-O-V-N	O	N	O-V-O-O-V-S	O	S
17687	коштилав	3	O-V-O-O-V-L-V-O	O	O	O-V-O-O-V-S-V-O	O	O
17688	коштрав	2	O-V-O-O-R-V-O	O	O	O-V-O-O-S-V-O	O	O
17689	коштрава	3	O-V-O-O-R-V-O-V	O	V	O-V-O-O-S-V-O-V	O	V
17690	коштрави	3	O-V-O-O-R-V-O-V	O	V	O-V-O-O-S-V-O-V	O	V
17691	кошула	3	O-V-O-V-L-V	O	V	O-V-O-V-S-V	O	V
17692	кошулица	4	O-V-O-V-L-V-O-V	O	V	O-V-O-V-S-V-O-V	O	V
17693	кошулка	3	O-V-O-V-L-O-V	O	V	O-V-O-V-S-O-V	O	V
17694	кошута	3	O-V-O-V-O-V	O	V	O-V-O-V-O-V	O	V
17695	кошутин	3	O-V-O-V-O-V-N	O	N	O-V-O-V-O-V-S	O	S
17696	краба	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17697	крава	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17698	кравај	2	O-R-V-O-V-J	O-R	J	O-S-V-O-V-S	O-S	S
17699	кравајче	3	O-R-V-O-V-J-O-V	O-R	V	O-S-V-O-V-S-O-V	O-S	V
17700	кравар	2	O-R-V-O-V-R	O-R	R	O-S-V-O-V-S	O-S	S
17701	краварига	4	O-R-V-O-V-R-V-O-V	O-R	V	O-S-V-O-V-S-V-O-V	O-S	V
17702	краварник	3	O-R-V-O-V-R-N-V-O	O-R	O	O-S-V-O-V-S-S-V-O	O-S	O
17703	краварство	3	O-R-V-O-V-R-O-O-O-V	O-R	V	O-S-V-O-V-S-O-O-O-V	O-S	V
17704	кравата	3	O-R-V-O-V-O-V	O-R	V	O-S-V-O-V-O-V	O-S	V
17705	кравји	2	O-R-V-O-J-V	O-R	V	O-S-V-O-S-V	O-S	V
17706	краг	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17707	крагна	2	O-R-V-O-N-V	O-R	V	O-S-V-O-S-V	O-S	V
17708	крагуј	2	O-R-V-O-V-J	O-R	J	O-S-V-O-V-S	O-S	S
17709	крадач	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17710	краде	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17711	крадеж	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17712	краден	2	O-R-V-O-V-N	O-R	N	O-S-V-O-V-S	O-S	S
17713	краденката	4	O-R-V-O-V-N-O-V-O-V	O-R	V	O-S-V-O-V-S-O-V-O-V	O-S	V
17714	крадено	3	O-R-V-O-V-N-V	O-R	V	O-S-V-O-V-S-V	O-S	V
17715	крадец	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17716	крадечки	3	O-R-V-O-V-O-O-V	O-R	V	O-S-V-O-V-O-O-V	O-S	V
17717	крадешката	4	O-R-V-O-V-O-O-V-O-V	O-R	V	O-S-V-O-V-O-O-V-O-V	O-S	V
17718	крадешки	3	O-R-V-O-V-O-O-V	O-R	V	O-S-V-O-V-O-O-V	O-S	V
17719	крадешкум	3	O-R-V-O-V-O-O-V-N	O-R	N	O-S-V-O-V-O-O-V-S	O-S	S
17720	крадлив	2	O-R-V-O-L-V-O	O-R	O	O-S-V-O-S-V-O	O-S	O
17721	крадливец	3	O-R-V-O-L-V-O-V-O	O-R	O	O-S-V-O-S-V-O-V-O	O-S	O
17722	крадло	2	O-R-V-O-L-V	O-R	V	O-S-V-O-S-V	O-S	V
17723	крадне	2	O-R-V-O-N-V	O-R	V	O-S-V-O-S-V	O-S	V
17724	крадум	2	O-R-V-O-V-N	O-R	N	O-S-V-O-V-S	O-S	S
17725	краен	2	O-R-V-V-N	O-R	N	O-S-V-V-S	O-S	S
17726	краешник	3	O-R-V-V-O-N-V-O	O-R	O	O-S-V-V-O-S-V-O	O-S	O
17727	кражба	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17728	краина	3	O-R-V-V-N-V	O-R	V	O-S-V-V-S-V	O-S	V
17729	краишен	3	O-R-V-V-O-V-N	O-R	N	O-S-V-V-O-V-S	O-S	S
17730	краиште	3	O-R-V-V-O-O-V	O-R	V	O-S-V-V-O-O-V	O-S	V
17731	крај	1	O-R-V-J	O-R	J	O-S-V-S	O-S	S
17732	крај	1	O-R-V-J	O-R	J	O-S-V-S	O-S	S
17733	крај	1	O-R-V-J	O-R	J	O-S-V-S	O-S	S
17734	крајбрежен	3	O-R-V-J-O-R-V-O-V-N	O-R	N	O-S-V-S-O-S-V-O-V-S	O-S	S
17735	крајбрежие	4	O-R-V-J-O-R-V-O-V-V	O-R	V	O-S-V-S-O-S-V-O-V-V	O-S	V
17736	крајбрежје	3	O-R-V-J-O-R-V-O-J-V	O-R	V	O-S-V-S-O-S-V-O-S-V	O-S	V
17737	крајграничен	4	O-R-V-J-O-R-V-N-V-O-V-N	O-R	N	O-S-V-S-O-S-V-S-V-O-V-S	O-S	S
17738	крајезерски	4	O-R-V-J-V-O-V-R-O-O-V	O-R	V	O-S-V-S-V-O-V-S-O-O-V	O-S	V
17739	крајморје	3	O-R-V-J-N-V-R-J-V	O-R	V	O-S-V-S-S-V-S-S-V	O-S	V
17740	крајморски	3	O-R-V-J-N-V-R-O-O-V	O-R	V	O-S-V-S-S-V-S-O-O-V	O-S	V
17741	крајник	2	O-R-V-J-N-V-O	O-R	O	O-S-V-S-S-V-O	O-S	O
17742	крајнина	3	O-R-V-J-N-V-N-V	O-R	V	O-S-V-S-S-V-S-V	O-S	V
17743	крајно	2	O-R-V-J-N-V	O-R	V	O-S-V-S-S-V	O-S	V
17744	крајност	2	O-R-V-J-N-V-O-O	O-R	O-O	O-S-V-S-S-V-O-O	O-S	O-O
17745	крајолик	3	O-R-V-J-V-L-V-O	O-R	O	O-S-V-S-V-S-V-O	O-S	O
17746	крајпатен	3	O-R-V-J-O-V-O-V-N	O-R	N	O-S-V-S-O-V-O-V-S	O-S	S
17747	крајречен	3	O-R-V-J-R-V-O-V-N	O-R	N	O-S-V-S-S-V-O-V-S	O-S	S
17748	крајселски	3	O-R-V-J-O-V-L-O-O-V	O-R	V	O-S-V-S-O-V-S-O-O-V	O-S	V
17749	крајче	2	O-R-V-J-O-V	O-R	V	O-S-V-S-O-V	O-S	V
17750	крајчец	2	O-R-V-J-O-V-O	O-R	O	O-S-V-S-O-V-O	O-S	O
17751	крак	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17752	крака	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17753	кракат	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17754	кракел	2	O-R-V-O-V-L	O-R	L	O-S-V-O-V-S	O-S	S
17755	кракле	2	O-R-V-O-L-V	O-R	V	O-S-V-O-S-V	O-S	V
17756	краклест	2	O-R-V-O-L-V-O-O	O-R	O-O	O-S-V-O-S-V-O-O	O-S	O-O
17757	крал	1	O-R-V-L	O-R	L	O-S-V-S	O-S	S
17758	кралица	3	O-R-V-L-V-O-V	O-R	V	O-S-V-S-V-O-V	O-S	V
17759	краличин	3	O-R-V-L-V-O-V-N	O-R	N	O-S-V-S-V-O-V-S	O-S	S
17760	кралство	2	O-R-V-L-O-O-O-V	O-R	V	O-S-V-S-O-O-O-V	O-S	V
17761	кралува	3	O-R-V-L-V-O-V	O-R	V	O-S-V-S-V-O-V	O-S	V
17762	кралче	2	O-R-V-L-O-V	O-R	V	O-S-V-S-O-V	O-S	V
17763	кралчиче	3	O-R-V-L-O-V-O-V	O-R	V	O-S-V-S-O-V-O-V	O-S	V
17764	кралштина	3	O-R-V-L-O-O-V-N-V	O-R	V	O-S-V-S-O-O-V-S-V	O-S	V
17765	крамар	2	O-R-V-N-V-R	O-R	R	O-S-V-S-V-S	O-S	S
17766	крамарин	3	O-R-V-N-V-R-V-N	O-R	N	O-S-V-S-V-S-V-S	O-S	S
17767	крамп	1	O-R-V-N-O	O-R	N-O	O-S-V-S-O	O-S	S-O
17768	крампон	2	O-R-V-N-O-V-N	O-R	N	O-S-V-S-O-V-S	O-S	S
17769	крампонка	3	O-R-V-N-O-V-N-O-V	O-R	V	O-S-V-S-O-V-S-O-V	O-S	V
17770	кран	1	O-R-V-N	O-R	N	O-S-V-S	O-S	S
17771	кранист	2	O-R-V-N-V-O-O	O-R	O-O	O-S-V-S-V-O-O	O-S	O-O
17772	кранта	2	O-R-V-N-O-V	O-R	V	O-S-V-S-O-V	O-S	V
17773	крап	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17774	крапче	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17775	крас	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17776	краса	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17777	красат	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17778	красатка	3	O-R-V-O-V-O-O-V	O-R	V	O-S-V-O-V-O-O-V	O-S	V
17779	красен	2	O-R-V-O-V-N	O-R	N	O-S-V-O-V-S	O-S	S
17780	краси	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17781	красит	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17782	краснопис	3	O-R-V-O-N-V-O-V-O	O-R	O	O-S-V-O-S-V-O-V-O	O-S	O
17783	краснописец	4	O-R-V-O-N-V-O-V-O-V-O	O-R	O	O-S-V-O-S-V-O-V-O-V-O	O-S	O
17784	красноречив	4	O-R-V-O-N-V-R-V-O-V-O	O-R	O	O-S-V-O-S-V-S-V-O-V-O	O-S	O
17785	красноречивост	5	O-R-V-O-N-V-R-V-O-V-O-V-O-O	O-R	O-O	O-S-V-O-S-V-S-V-O-V-O-V-O-O	O-S	O-O
17786	красноречие	5	O-R-V-O-N-V-R-V-O-V-V	O-R	V	O-S-V-O-S-V-S-V-O-V-V	O-S	V
17787	красота	3	O-R-V-O-V-O-V	O-R	V	O-S-V-O-V-O-V	O-S	V
17788	краста	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17789	крастав	2	O-R-V-O-O-V-O	O-R	O	O-S-V-O-O-V-O	O-S	O
17790	краставица	4	O-R-V-O-O-V-O-V-O-V	O-R	V	O-S-V-O-O-V-O-V-O-V	O-S	V
17791	краставичар	4	O-R-V-O-O-V-O-V-O-V-R	O-R	R	O-S-V-O-O-V-O-V-O-V-S	O-S	S
17792	краставичен	4	O-R-V-O-O-V-O-V-O-V-N	O-R	N	O-S-V-O-O-V-O-V-O-V-S	O-S	S
17793	краставичка	4	O-R-V-O-O-V-O-V-O-O-V	O-R	V	O-S-V-O-O-V-O-V-O-O-V	O-S	V
17794	краставост	3	O-R-V-O-O-V-O-V-O-O	O-R	O-O	O-S-V-O-O-V-O-V-O-O	O-S	O-O
17795	красте	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17796	крастоса	3	O-R-V-O-O-V-O-V	O-R	V	O-S-V-O-O-V-O-V	O-S	V
17797	крастун	2	O-R-V-O-O-V-N	O-R	N	O-S-V-O-O-V-S	O-S	S
17798	кратенка	3	O-R-V-O-V-N-O-V	O-R	V	O-S-V-O-V-S-O-V	O-S	V
17799	кратер	2	O-R-V-O-V-R	O-R	R	O-S-V-O-V-S	O-S	S
17800	крати	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17801	кратко	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17802	кратковечен	4	O-R-V-O-O-V-O-V-O-V-N	O-R	N	O-S-V-O-O-V-O-V-O-V-S	O-S	S
17803	кратковид	3	O-R-V-O-O-V-O-V-O	O-R	O	O-S-V-O-O-V-O-V-O	O-S	O
17804	кратковремен	4	O-R-V-O-O-V-O-R-V-N-V-N	O-R	N	O-S-V-O-O-V-O-S-V-S-V-S	O-S	S
17805	краткодневица	5	O-R-V-O-O-V-O-N-V-O-V-O-V	O-R	V	O-S-V-O-O-V-O-S-V-O-V-O-V	O-S	V
17806	краткометражен	5	O-R-V-O-O-V-N-V-O-R-V-O-V-N	O-R	N	O-S-V-O-O-V-S-V-O-S-V-O-V-S	O-S	S
17807	краткорочен	4	O-R-V-O-O-V-R-V-O-V-N	O-R	N	O-S-V-O-O-V-S-V-O-V-S	O-S	S
17808	краткост	2	O-R-V-O-O-V-O-O	O-R	O-O	O-S-V-O-O-V-O-O	O-S	O-O
17809	краткотраен	4	O-R-V-O-O-V-O-R-V-V-N	O-R	N	O-S-V-O-O-V-O-S-V-V-S	O-S	S
17810	краткоум	3	O-R-V-O-O-V-V-N	O-R	N	O-S-V-O-O-V-V-S	O-S	S
17811	краткоумие	5	O-R-V-O-O-V-V-N-V-V	O-R	V	O-S-V-O-O-V-V-S-V-V	O-S	V
17812	Кратово	3	O-R-V-O-V-O-V	O-R	V	O-S-V-O-V-O-V	O-S	V
17813	краток	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17814	кратошија	4	O-R-V-O-V-O-V-J-V	O-R	V	O-S-V-O-V-O-V-S-V	O-S	V
17815	краул	2	O-R-V-V-L	O-R	L	O-S-V-V-S	O-S	S
17816	крах	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17817	крахира	3	O-R-V-O-V-R-V	O-R	V	O-S-V-O-V-S-V	O-S	V
17818	крачест	2	O-R-V-O-V-O-O	O-R	O-O	O-S-V-O-V-O-O	O-S	O-O
17819	крбла	2	O-V-R-O-L-V	O	V	O-V-S-O-S-V	O	V
17820	крбло	2	O-V-R-O-L-V	O	V	O-V-S-O-S-V	O	V
17821	крбулица	4	O-V-R-O-V-L-V-O-V	O	V	O-V-S-O-V-S-V-O-V	O	V
17822	крв	1	O-V-R-O	O	R-O	O-V-S-O	O	S-O
17823	крвав	2	O-V-R-O-V-O	O	O	O-V-S-O-V-O	O	O
17824	крвави	3	O-V-R-O-V-O-V	O	V	O-V-S-O-V-O-V	O	V
17825	крвавица	4	O-V-R-O-V-O-V-O-V	O	V	O-V-S-O-V-O-V-O-V	O	V
17826	крвен	2	O-V-R-O-V-N	O	N	O-V-S-O-V-S	O	S
17827	крви	2	O-V-R-O-V	O	V	O-V-S-O-V	O	V
17828	крвјоса	3	O-V-R-O-J-V-O-V	O	V	O-V-S-O-S-V-O-V	O	V
17829	крвјосан	3	O-V-R-O-J-V-O-V-N	O	N	O-V-S-O-S-V-O-V-S	O	S
17830	крвник	2	O-V-R-O-N-V-O	O	O	O-V-S-O-S-V-O	O	O
17831	крвников	3	O-V-R-O-N-V-O-V-O	O	O	O-V-S-O-S-V-O-V-O	O	O
17832	крвнина	3	O-V-R-O-N-V-N-V	O	V	O-V-S-O-S-V-S-V	O	V
17833	крвнички	3	O-V-R-O-N-V-O-O-V	O	V	O-V-S-O-S-V-O-O-V	O	V
17834	крвно	2	O-V-R-O-N-V	O	V	O-V-S-O-S-V	O	V
17835	крводарител	5	O-V-R-O-V-O-V-R-V-O-V-L	O	L	O-V-S-O-V-O-V-S-V-O-V-S	O	S
17836	крвожеден	4	O-V-R-O-V-O-V-O-V-N	O	N	O-V-S-O-V-O-V-O-V-S	O	S
17837	крволок	3	O-V-R-O-V-L-V-O	O	O	O-V-S-O-V-S-V-O	O	O
17838	крволочен	4	O-V-R-O-V-L-V-O-V-N	O	N	O-V-S-O-V-S-V-O-V-S	O	S
17839	крвоносен	4	O-V-R-O-V-N-V-O-V-N	O	N	O-V-S-O-V-S-V-O-V-S	O	S
17840	крвопиец	4	O-V-R-O-V-O-V-V-O	O	O	O-V-S-O-V-O-V-V-O	O	O
17841	крвопролевање	6	O-V-R-O-V-O-R-V-L-V-O-V-N-V	O	V	O-V-S-O-V-O-S-V-S-V-O-V-S-V	O	V
17842	крвоса	3	O-V-R-O-V-O-V	O	V	O-V-S-O-V-O-V	O	V
17843	крвосан	3	O-V-R-O-V-O-V-N	O	N	O-V-S-O-V-O-V-S	O	S
17844	крвотворен	4	O-V-R-O-V-O-O-V-R-V-N	O	N	O-V-S-O-V-O-O-V-S-V-S	O	S
17845	крвоток	3	O-V-R-O-V-O-V-O	O	O	O-V-S-O-V-O-V-O	O	O
17846	крг	1	O-V-R-O	O	R-O	O-V-S-O	O	S-O
17847	крдак	2	O-V-R-O-V-O	O	O	O-V-S-O-V-O	O	O
17848	крдар	2	O-V-R-O-V-R	O	R	O-V-S-O-V-S	O	S
17849	крди	2	O-V-R-O-V	O	V	O-V-S-O-V	O	V
17850	крдило	3	O-V-R-O-V-L-V	O	V	O-V-S-O-V-S-V	O	V
17851	крднина	3	O-V-R-O-N-V-N-V	O	V	O-V-S-O-S-V-S-V	O	V
17852	креативен	4	O-R-V-V-O-V-O-V-N	O-R	N	O-S-V-V-O-V-O-V-S	O-S	S
17853	креативец	4	O-R-V-V-O-V-O-V-O	O-R	O	O-S-V-V-O-V-O-V-O	O-S	O
17854	креатор	3	O-R-V-V-O-V-R	O-R	R	O-S-V-V-O-V-S	O-S	S
17855	креатура	4	O-R-V-V-O-V-R-V	O-R	V	O-S-V-V-O-V-S-V	O-S	V
17856	креација	4	O-R-V-V-O-V-J-V	O-R	V	O-S-V-V-O-V-S-V	O-S	V
17857	креационизам	6	O-R-V-V-O-V-V-N-V-O-V-N	O-R	N	O-S-V-V-O-V-V-S-V-O-V-S	O-S	S
17858	крева	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17859	кревалка	3	O-R-V-O-V-L-O-V	O-R	V	O-S-V-O-V-S-O-V	O-S	V
17860	кревање	3	O-R-V-O-V-N-V	O-R	V	O-S-V-O-V-S-V	O-S	V
17861	кревач	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17862	кревет	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17863	креветен	3	O-R-V-O-V-O-V-N	O-R	N	O-S-V-O-V-O-V-S	O-S	S
17864	кревок	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17865	креда	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17866	креден	2	O-R-V-O-V-N	O-R	N	O-S-V-O-V-S	O-S	S
17867	креденец	3	O-R-V-O-V-N-V-O	O-R	O	O-S-V-O-V-S-V-O	O-S	O
17868	кредибилен	4	O-R-V-O-V-O-V-L-V-N	O-R	N	O-S-V-O-V-O-V-S-V-S	O-S	S
17869	кредибилитет	5	O-R-V-O-V-O-V-L-V-O-V-O	O-R	O	O-S-V-O-V-O-V-S-V-O-V-O	O-S	O
17870	кредит	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17871	кредитен	3	O-R-V-O-V-O-V-N	O-R	N	O-S-V-O-V-O-V-S	O-S	S
17872	кредитира	4	O-R-V-O-V-O-V-R-V	O-R	V	O-S-V-O-V-O-V-S-V	O-S	V
17873	кредитор	3	O-R-V-O-V-O-V-R	O-R	R	O-S-V-O-V-O-V-S	O-S	S
17874	кредитоспособен	6	O-R-V-O-V-O-V-O-O-V-O-V-O-V-N	O-R	N	O-S-V-O-V-O-V-O-O-V-O-V-O-V-S	O-S	S
17875	кредо	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17876	креира	3	O-R-V-V-R-V	O-R	V	O-S-V-V-S-V	O-S	V
17877	крејон	2	O-R-V-J-V-N	O-R	N	O-S-V-S-V-S	O-S	S
17878	крека	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17879	крекалица	4	O-R-V-O-V-L-V-O-V	O-R	V	O-S-V-O-V-S-V-O-V	O-S	V
17880	крекачка	3	O-R-V-O-V-O-O-V	O-R	V	O-S-V-O-V-O-O-V	O-S	V
17881	крекла	2	O-R-V-O-L-V	O-R	V	O-S-V-O-S-V	O-S	V
17882	креклив	2	O-R-V-O-L-V-O	O-R	O	O-S-V-O-S-V-O	O-S	O
17883	крекло	2	O-R-V-O-L-V	O-R	V	O-S-V-O-S-V	O-S	V
17884	крекне	2	O-R-V-O-N-V	O-R	V	O-S-V-O-S-V	O-S	V
17885	крекотница	4	O-R-V-O-V-O-N-V-O-V	O-R	V	O-S-V-O-V-O-S-V-O-V	O-S	V
17886	крем	1	O-R-V-N	O-R	N	O-S-V-S	O-S	S
17887	крема	2	O-R-V-N-V	O-R	V	O-S-V-S-V	O-S	V
17888	крематориум	5	O-R-V-N-V-O-V-R-V-V-N	O-R	N	O-S-V-S-V-O-V-S-V-V-S	O-S	S
17889	кремен	2	O-R-V-N-V-N	O-R	N	O-S-V-S-V-S	O-S	S
17890	кремен	2	O-R-V-N-V-N	O-R	N	O-S-V-S-V-S	O-S	S
17891	кременадла	4	O-R-V-N-V-N-V-O-L-V	O-R	V	O-S-V-S-V-S-V-O-S-V	O-S	V
17892	кременарка	4	O-R-V-N-V-N-V-R-O-V	O-R	V	O-S-V-S-V-S-V-S-O-V	O-S	V
17893	кременачка	4	O-R-V-N-V-N-V-O-O-V	O-R	V	O-S-V-S-V-S-V-O-O-V	O-S	V
17894	кремењак	3	O-R-V-N-V-N-V-O	O-R	O	O-S-V-S-V-S-V-O	O-S	O
17895	кремира	3	O-R-V-N-V-R-V	O-R	V	O-S-V-S-V-S-V	O-S	V
17896	кремирање	4	O-R-V-N-V-R-V-N-V	O-R	V	O-S-V-S-V-S-V-S-V	O-S	V
17897	кремниса	3	O-R-V-N-N-V-O-V	O-R	V	O-S-V-S-S-V-O-V	O-S	V
17898	кремно	2	O-R-V-N-N-V	O-R	V	O-S-V-S-S-V	O-S	V
17899	кремпита	3	O-R-V-N-O-V-O-V	O-R	V	O-S-V-S-O-V-O-V	O-S	V
17900	кренвиршла	3	O-R-V-N-O-V-R-O-L-V	O-R	V	O-S-V-S-O-V-S-O-S-V	O-S	V
17901	крене	2	O-R-V-N-V	O-R	V	O-S-V-S-V	O-S	V
17902	креол	2	O-R-V-V-L	O-R	L	O-S-V-V-S	O-S	S
17903	креп	1	O-R-V-O	O-R	O	O-S-V-O	O-S	O
17904	крепа	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17905	крепдешин	3	O-R-V-O-O-V-O-V-N	O-R	N	O-S-V-O-O-V-O-V-S	O-S	S
17906	крепжоржет	3	O-R-V-O-O-V-R-O-V-O	O-R	O	O-S-V-O-O-V-S-O-V-O	O-S	O
17907	крепи	2	O-R-V-O-V	O-R	V	O-S-V-O-V	O-S	V
17908	крепикуќа	4	O-R-V-O-V-O-V-O-V	O-R	V	O-S-V-O-V-O-V-O-V	O-S	V
17909	крепител	3	O-R-V-O-V-O-V-L	O-R	L	O-S-V-O-V-O-V-S	O-S	S
17910	крепне	2	O-R-V-O-N-V	O-R	V	O-S-V-O-S-V	O-S	V
17911	крепок	2	O-R-V-O-V-O	O-R	O	O-S-V-O-V-O	O-S	O
17912	крепон	2	O-R-V-O-V-N	O-R	N	O-S-V-O-V-S	O-S	S
17913	крепосник	3	O-R-V-O-V-O-N-V-O	O-R	O	O-S-V-O-V-O-S-V-O	O-S	O
17914	крепосништво	4	O-R-V-O-V-O-N-V-O-O-O-V	O-R	V	O-S-V-O-V-O-S-V-O-O-O-V	O-S	V
17915	крепост	2	O-R-V-O-V-O-O	O-R	O-O	O-S-V-O-V-O-O	O-S	O-O
17916	крепостен	3	O-R-V-O-V-O-O-V-N	O-R	N	O-S-V-O-V-O-O-V-S	O-S	S
17917	креска	2	O-R-V-O-O-V	O-R	V	O-S-V-O-O-V	O-S	V
17918	крескав	2	O-R-V-O-O-V-O	O-R	O	O-S-V-O-O-V-O	O-S	O
17919	крескало	3	O-R-V-O-O-V-L-V	O-R	V	O-S-V-O-O-V-S-V	O-S	V
